"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Polr2i",0.00337894504951346,0.145729964585572,0.547,0.477,1,"EPO_responsive","Polr2i"
"Ap1s3",0.00345268632212655,0.12381546876621,0.199,0.134,1,"EPO_responsive","Ap1s3"
"Edf1",0.00352504217953662,0.104465787634707,0.896,0.846,1,"EPO_responsive","Edf1"
"Gsr",0.00355967769997223,0.175058382463292,0.415,0.354,1,"EPO_responsive","Gsr"
"Ak2",0.00357459704627264,0.101999980044945,0.753,0.663,1,"EPO_responsive","Ak2"
"Psmd6",0.00357484529751598,0.153343638097004,0.456,0.386,1,"EPO_responsive","Psmd6"
"Aaas",0.00361938937351026,0.136152335066293,0.237,0.177,1,"EPO_responsive","Aaas"
"G3bp1",0.00363244750122353,0.0958687884812406,0.839,0.77,1,"EPO_responsive","G3bp1"
"Tmem216",0.00364014666505073,0.122552396748203,0.193,0.13,1,"EPO_responsive","Tmem216"
"Raly",0.00374321676270877,0.096343566508575,0.864,0.78,1,"EPO_responsive","Raly"
"Uxt",0.00378173917605845,0.116206198964328,0.367,0.277,1,"EPO_responsive","Uxt"
"Rrm1",0.00391019420705233,0.172850153713624,0.392,0.321,1,"EPO_responsive","Rrm1"
"Nap1l1",0.00392205162148635,0.109860638858514,0.908,0.871,1,"EPO_responsive","Nap1l1"
"Fopnl",0.00397330670961019,0.111667079040481,0.377,0.281,1,"EPO_responsive","Fopnl"
"Exosc1",0.00398800287366439,0.147286766569824,0.468,0.399,1,"EPO_responsive","Exosc1"
"Ostc",0.00399614868639116,0.111952706116136,0.639,0.558,1,"EPO_responsive","Ostc"
"Nelfe",0.0040046391284392,0.152122349237026,0.456,0.394,1,"EPO_responsive","Nelfe"
"Pradc1",0.00413341779542562,0.129213575939375,0.32,0.244,1,"EPO_responsive","Pradc1"
"Rnaseh2c",0.00420305106323175,0.122171991858111,0.703,0.621,1,"EPO_responsive","Rnaseh2c"
"Rfc2",0.004224435365793,0.108421597046218,0.848,0.805,1,"EPO_responsive","Rfc2"
"Psip1",0.00423069664783781,0.127333241112448,0.658,0.569,1,"EPO_responsive","Psip1"
"Arglu1",0.0043914712370246,0.116582308836141,0.794,0.716,1,"EPO_responsive","Arglu1"
"Slc35b1",0.00444757610451423,0.115062709787527,0.253,0.179,1,"EPO_responsive","Slc35b1"
"Tomm20",0.00448658139312523,0.0674482592006056,0.959,0.917,1,"EPO_responsive","Tomm20"
"Ubl4a",0.00459671870817691,0.159925710554289,0.513,0.458,1,"EPO_responsive","Ubl4a"
"Eif6",0.00460450348737563,0.133267099565544,0.595,0.527,1,"EPO_responsive","Eif6"
"Tuba4a",0.00461053188522094,0.116118862786874,0.826,0.77,1,"EPO_responsive","Tuba4a"
"Ino80e",0.00461268647713543,0.133928601799913,0.475,0.389,1,"EPO_responsive","Ino80e"
"Mybl2",0.00465831691987068,0.11353319509714,0.256,0.194,1,"EPO_responsive","Mybl2"
"Akip1",0.00472722111081805,0.142495834714694,0.392,0.31,1,"EPO_responsive","Akip1"
"Polr3k",0.00473354186018545,0.135921590619819,0.595,0.528,1,"EPO_responsive","Polr3k"
"Romo1",0.00474027351287092,0.121037333438854,0.877,0.846,1,"EPO_responsive","Romo1"
"Mrpl57",0.00480819248166172,0.127306600251365,0.709,0.646,1,"EPO_responsive","Mrpl57"
"Mrpl54",0.00481127066819321,0.125915457924914,0.658,0.58,1,"EPO_responsive","Mrpl54"
"Dnajc2",0.00486720087459417,0.161860503385656,0.661,0.615,1,"EPO_responsive","Dnajc2"
"Mterf3",0.00499149055357428,0.130361313389602,0.184,0.127,1,"EPO_responsive","Mterf3"
"Minpp1",0.00500480788069912,0.130122960040921,0.459,0.377,1,"EPO_responsive","Minpp1"
"Cnih1",0.00502314730318884,0.105274724669034,0.551,0.453,1,"EPO_responsive","Cnih1"
"Snrpc",0.00502467177874698,0.115226985049053,0.69,0.618,1,"EPO_responsive","Snrpc"
