"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rictor",0.0121402136857177,0.0522131810962067,0.206,0.169,1,"Control","Rictor"
"Pnp",0.0122767168642548,0.061900165088995,0.469,0.424,1,"Control","Pnp"
"Lipa",0.0123010892775447,0.0523633290167227,0.135,0.105,1,"Control","Lipa"
"Prpf4b",0.0123648662894874,0.0602312456291003,0.548,0.504,1,"Control","Prpf4b"
"Spsb3",0.0124293354085335,0.0507188274909886,0.203,0.161,1,"Control","Spsb3"
"Preb",0.012442848273759,0.0610975485117682,0.261,0.223,1,"Control","Preb"
"Pecam1",0.0124758908093104,0.0596970218869233,0.162,0.129,1,"Control","Pecam1"
"Atp6v0b",0.0126318248505001,0.0581814591101522,0.759,0.723,1,"Control","Atp6v0b"
"Bak1",0.012647004966155,0.0513918715516931,0.365,0.321,1,"Control","Bak1"
"Golga3",0.0126611192142784,0.0513558149518635,0.11,0.083,1,"Control","Golga3"
"P3h3",0.0126807221775976,0.073922837882067,0.137,0.11,1,"Control","P3h3"
"Exoc8",0.0126940424041239,0.0526161671720184,0.112,0.086,1,"Control","Exoc8"
"Pnpo",0.0127881760132855,0.0668595108292699,0.16,0.131,1,"Control","Pnpo"
"Map2k3",0.0128170841321444,0.0504553933959964,0.533,0.476,1,"Control","Map2k3"
"Thra",0.0128227404316032,0.0685578718592,0.303,0.265,1,"Control","Thra"
"Dtnbp1",0.0128424622855596,0.0566398281492099,0.452,0.402,1,"Control","Dtnbp1"
"Opa1",0.0129209570494804,0.0523826960280124,0.151,0.118,1,"Control","Opa1"
"Vldlr",0.0130674847980026,0.063410933707031,0.22,0.185,1,"Control","Vldlr"
"Prr14",0.0130736680317017,0.054655326956001,0.177,0.143,1,"Control","Prr14"
"Fam76b",0.0130917777149049,0.0605743704874763,0.193,0.158,1,"Control","Fam76b"
"Chd2",0.0131004133685733,0.065173255830449,0.347,0.304,1,"Control","Chd2"
"Snx2",0.013102716906754,0.0620182136837724,0.354,0.314,1,"Control","Snx2"
"Vat1",0.013140716425938,0.0652815457034245,0.229,0.193,1,"Control","Vat1"
"Wdr55",0.0131471061347055,0.0541575769651167,0.194,0.161,1,"Control","Wdr55"
"Rhoh",0.0132296291659521,0.0731977038397807,0.497,0.461,1,"Control","Rhoh"
"Slc39a7",0.0133454753524428,0.0557712700195598,0.231,0.194,1,"Control","Slc39a7"
"Klc1",0.0133991200599152,0.0540586321488976,0.198,0.164,1,"Control","Klc1"
"Whamm",0.0134382952727993,0.0502809753806089,0.12,0.092,1,"Control","Whamm"
"Haus3",0.013483660249436,0.0532786255112849,0.178,0.141,1,"Control","Haus3"
"Suv420h1",0.0135772098094576,0.0660575669377633,0.164,0.135,1,"Control","Suv420h1"
"Wasf2",0.0138191496075315,0.0687093195053269,0.543,0.502,1,"Control","Wasf2"
"Cfap97",0.0139210263154127,0.0537225667069079,0.32,0.27,1,"Control","Cfap97"
"Thumpd3",0.014032311633988,0.0609567068166093,0.268,0.23,1,"Control","Thumpd3"
"Rc3h2",0.0140564885883155,0.0621591333849353,0.241,0.2,1,"Control","Rc3h2"
"Ptbp3",0.0141563396547827,0.0796417215107728,0.661,0.633,1,"Control","Ptbp3"
"Rassf2",0.0141885919620585,0.0633704970932106,0.258,0.217,1,"Control","Rassf2"
"Suz12",0.0141950182092758,0.0694204442408852,0.377,0.333,1,"Control","Suz12"
"Plp2",0.0143522723100427,0.0575772284819367,0.642,0.59,1,"Control","Plp2"
"Cyhr1",0.014581985009475,0.0580008332872822,0.206,0.171,1,"Control","Cyhr1"
"Wipi2",0.0147812256189337,0.0530171293792997,0.27,0.23,1,"Control","Wipi2"
"Krr1",0.0148179523604893,0.0664591828779543,0.319,0.278,1,"Control","Krr1"
"Dap3",0.0148292933328654,0.0527804537215039,0.337,0.291,1,"Control","Dap3"
"Zbtb7a",0.0148485090687606,0.0650628925210281,0.661,0.624,1,"Control","Zbtb7a"
"B4galt6",0.0149112645764413,0.0576417732613787,0.106,0.083,1,"Control","B4galt6"
"Setd2",0.0150395037097061,0.0628236924316569,0.303,0.263,1,"Control","Setd2"
"Rnaset2a",0.0150821581928478,0.059868066387412,0.625,0.583,1,"Control","Rnaset2a"
"Med10",0.015120334167322,0.0654814198820687,0.556,0.514,1,"Control","Med10"
"Lrpap1",0.0151270788121184,0.0606008072806037,0.365,0.319,1,"Control","Lrpap1"
"Ciz1",0.0151994311485128,0.0632256530850209,0.254,0.217,1,"Control","Ciz1"
"Dlgap4",0.0152619941979765,0.0574824850272308,0.121,0.093,1,"Control","Dlgap4"
"Wdr82",0.0153064955611739,0.0547377660032886,0.34,0.293,1,"Control","Wdr82"
"Wbp11",0.0154018023301643,0.050957525872197,0.613,0.567,1,"Control","Wbp11"
"Xpo7",0.0154481742310675,0.064245091020576,0.215,0.182,1,"Control","Xpo7"
