"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Flna",2.49674007558955e-05,0.0924036345343581,0.379,0.296,0.272294472643796,"Control","Flna"
"Arhgef1",2.56091893654105e-05,0.105504663958591,0.64,0.571,0.279293819219167,"Control","Arhgef1"
"Clk1",2.57853706098495e-05,0.11342553588981,0.552,0.474,0.281215251871018,"Control","Clk1"
"Tnrc6c",2.61229923207537e-05,0.0900553258022934,0.3,0.219,0.28489735425014,"Control","Tnrc6c"
"Srebf2",2.61790482924765e-05,0.0978341193807181,0.527,0.438,0.285508700677748,"Control","Srebf2"
"Supt5",2.68819253914819e-05,0.106414299407078,0.39,0.322,0.293174278319502,"Control","Supt5"
"Fhod1",2.74182043200311e-05,0.0976135166849857,0.169,0.117,0.299022936314259,"Control","Fhod1"
"Hdac5",2.75524546479677e-05,0.0964249498262725,0.228,0.166,0.300487070390736,"Control","Hdac5"
"Zc3h18",2.8011018698605e-05,0.100999926680305,0.387,0.311,0.305488169926986,"Control","Zc3h18"
"Mxd4",2.89039453675596e-05,0.109534899913854,0.351,0.284,0.315226428178605,"Control","Mxd4"
"Por",2.91310838613578e-05,0.0998831504854184,0.419,0.334,0.317703600591968,"Control","Por"
"Rnf11",2.94683518640876e-05,0.0991581824338275,0.281,0.214,0.321381845429739,"Control","Rnf11"
"Fnbp1",3.06139816251233e-05,0.110537683398208,0.648,0.584,0.333876083603595,"Control","Fnbp1"
"Btk",3.09183795238477e-05,0.0851311626897618,0.311,0.229,0.337195847087083,"Control","Btk"
"Mapk3",3.09674444978153e-05,0.10744669597469,0.427,0.353,0.337730949693174,"Control","Mapk3"
"Basp1",3.13892644761479e-05,0.101321981216032,0.225,0.16,0.342331318376869,"Control","Basp1"
"Tusc1",3.14646648539199e-05,0.0910567203067276,0.161,0.109,0.343153634896851,"Control","Tusc1"
"Irak1",3.21333533016823e-05,0.108485198325558,0.509,0.445,0.350446351108147,"Control","Irak1"
"Ccnd2",3.28097091800629e-05,0.106219913062188,0.836,0.787,0.357822688317766,"Control","Ccnd2"
"Aamp",3.296383039684e-05,0.0879970573677223,0.595,0.513,0.359503534307937,"Control","Aamp"
"Madd",3.30452571849469e-05,0.109659908216548,0.573,0.496,0.360391574859031,"Control","Madd"
"Cramp1l",3.34468575273511e-05,0.0861930567180538,0.132,0.087,0.364771428193291,"Control","Cramp1l"
"Mcm7",3.34960194832656e-05,0.117241145430668,0.582,0.523,0.365307588484495,"Control","Mcm7"
"Rest",3.39305550871897e-05,0.106274684357543,0.421,0.35,0.370046633780891,"Control","Rest"
