Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,3010026O09Rik,,Cdkl1,,Hist1h4b,Gcap14,Hamp,Hmgb3,,Tufm,Bud13,,,Stmn1,,Ndn,Kctd20,Uqcrb,Msh6
,,Atp11c,,Bpgm,,ENSMUSG00000066938,Ap3s1,Cd200,H2afz,,Rassf3,Cox4i2,,,Vps8,,Nfat5,Ctns,Btf3,Mcm5
,,Nupl2,,Hbb-b1,,Olfr967,Ly6c2,Abt1,Ndufb11,,Zfyve20,Smc6,,,Sdccag8,,Nupr1,Atp6v1b2,N6amt2,Celf1
,,Ptpn23,,Nrip3,,Hist2h3b,Fam46c,Wdr49,Zcrb1,,Letmd1,Rab14,,,Abhd2,,Obsl1,Cyba,Esd,Mef2c
,,Zdhhc8,,Gm14047,,Spc24,Ccr10,A430093F15Rik,Pik3ca,,D12Ertd553e,Ndc80,,,BC048507,,Panx2,Slc4a1,Sorbs3,Mthfd2
,,Plxnd1,,Itgad,,Mars,AI451557,Cyp2j9,Shcbp1,,Mtdh,Ube2o,,,Snora31,,Pex11a,Slc4a3,Spry2,Tfap4
,,Paip1,,Btn1a1,,Hist4h4,Ikbkb,Mctp2,Csde1,,L3mbtl2,Srrm2,,,Ttl,,Pik3r1,B4galnt1,Sub1,Ranbp1
,,Chmp7,,Timd4,,Onecut3,Cd7,Kcne3,Gatm,,Hprt1,Ppp1r13b,,,Npff,,Pde6h,Ezh1,Brix1,Tpr
,,Ascc2,,AC160473.1,,Lipn,Ctsg,1200009F10Rik,Fabp5,,Elmo3,2410016O06Rik,,,Hist1h2ak,,Pkp2,M6pr,Nadk2,Cdc20
,,Rprd1a,,5730469M10Rik,,Rnaseh2c,BC005685,AA467197,Pmpca,,6430527G18Rik,Wdr3,,,Kif20b,,Pear1,Tgfbr1,Pabpc1,Srm
,,Olfr1346,,Slc4a1,,Oaf,ENSMUSG00000076543,Gins3,Inpp5b,,Coq5,Copb1,,,Tbcel,,Pdgfd,Rhoa,Myc,Rbm14
,,Mex3a,,Col14a1,,Mrps18a,EG668492,Tle4,Apitd1,,2810046L04Rik,Atox1,,,Hist1h2bk,,Plec,Prrg2,Endou,Pola1
,,Mrpl16,,Sirpb1a,,1700019A02Rik,Ell2,Taf11,Ubn1,,D15Mgi27,Asxl1,,,Mul1,,Parp14,Cers4,Nudt16l1,Gmnn
,,Rufy1,,Slfn14-ps,,Pcdh7,Lgals1,Arhgef3,Tiparp,,Rabif,Preb,,,Tubgcp5,,Rpl23a,Mgst1,Cd96,Cdk4
,,Acp6,,Sfrp4,,Birc5,Pgam2,Pink1,Gnas,,Mrpl55,Ctsb,,,Bub1,,Rps20,Trpm5,Gpr128,Vars
,,Rdh10,,Hbb-b2,,Sec14l1,Sytl2,Siae,Cpsf2,,B230339M05Rik,Arrb2,,,Aen,,Krt8,Mpo,Krt18,Lsm2
,,A430033K04Rik,,Ube2o,,Casc5,Igk-V1,Dync2li1,Tmem14c,,Lin7c,Zdhhc8,,,Tmem43,,Rps29,Pou6f1,Mar-05,Pole
,,Aptx,,C1qc,,Hmmr,Fam53b,Oas1c,Atad2,,EG667977,Mrpl14,,,Pold1,,Gbp8,Mcoln2,Tpi1,Arpp19
,,Zgrf1,,Hba-a2,,Depdc1a,Hsd11b1,Copb1,Utp18,,Impa2,Pacs1,,,Cdc25c,,Ccl27a,Ccnt1,Ccndbp1,Ccdc124
,,E430018J23Rik,,Pigz,,Has2,Styxl1,OTTMUSG00000007648,Khdrbs1,,Ormdl3,Notch2,,,Spag5,,Prmt2,Clip3,Enpp5,Cct4
,,Trp53rkb,,Syt14,,Cnksr2,Cd5l,EG330305,Tpst2,,Tuba1b,Tloc1,,,Lmnb1,,Runx1t1,Mcemp1,Abcg1,Aldh16a1
,,Pigc,,Vcam1,,Slfnl1,Snord96a,Dntt,Birc5,,Cat,Hnrph2,,,Hist1h2ba,,Serpinb9,Blk,Ndufv3,Nutf2
,,Atxn2,,Dnahc12,,Cdc2a,Gm459,Acot1,Rfc2,,Daam1,BC004004,,,Pex13,,Stk24,Cyp2j9,Vapa,Ubqln4
,,BC064078,,Ccrn4l,,Col4a2,Igl-V1,Epb4.1l3,Nme1,,Tbc1d22a,Slc27a1,,,Zfp691,,Sesn2,Cybb,Twsg1,Ewsr1
,,Coq10b,,Pparg,,Mki67,Clec4e,Maml3,Cenpe,,Topors,Ncaph,,,Taf11,,Slc2a3,Cd83,Nme4,Cbx5
,,Pigp,,Isg15,,Hist1h2bp,Hsp90b1,Opalin,Plac8,,Ssrp1,Crip1,,,Srd5a1,,Samd9l,Zfp318,Nudt3,Sdhb
,,Ss18,,Pla2g4c,,Cchcr1,Fcrl6,Rarres2,Tbcb,,Ak2,Ttc33,,,Wdr48,,Socs2,Gata3,Nudt12,Tusc2
,,Myo19,,Klf1,,Cdc7,Pak2,Vit,Cenpw,,Atp9b,Ubash3a,,,Tom1,,Txnrd3,Vps45,Ppic,Raver1
,,Lrp6,,Gpr150,,Mocs3,Xcl1,Lmo2,Gcsh,,Fbxo7,l7Rn6,,,Hist1h2bb,,Tgm2,Med28,Cyb5a,Faf1
,,Cisd3,,Slc14a2,,LOC100041230,4930470P17Rik,Sec23b,E330016A19Rik,,Ecd,Rbm9,,,0610009B22Rik,,Tmcc2,Lta4h,2410127L17Rik,Pabpc4
,,Dmxl2,,Hba-a1,,Trfr2,EG633457,Gas6,Nup85,,Bud31,Nol5,,,Hist1h2br,,Tmie,Gatsl2,Maged1,Kif11
,,Tacstd2,,Rhag,,F630111L10Rik,Mettl7b,Gm1966,C330007P06Rik,,5730596K20Rik,1110002N22Rik,,,Clcc1,,Tmem176a,Ncf1,Hsd17b10,Rpa3
,,Cep78,,Rcvrn,,E2f1,Itch,EG667622,Nars,,Gnb2l1,Smo,,,Tuba1c,,Tmem201,Lbp,Hdhd2,Cad
,,4931428F04Rik,,Apol10a,,6430573F11Rik,A930024E05Rik,Btla,Hnrnpl,,Gmnn,Nr1d2,,,Slx4,,Trib3,Hsd11b1,Clybl,Med16
,,Dstyk,,Spna1,,Il9,Uba5,1810043G02Rik,Atp5e,,Nfu1,2810012G03Rik,,,Tollip,,Tnrc6b,Cmah,Klhl4,Cmc2
,,Qrsl1,,Gm15815,,H2-gs10  // H2-gs10,LOC630837,Lce3b,Kif20b,,Mvp,Sdc3,,,Uap1,,Usp30,Slpi,Casp12,Tsen15
,,Phlda2,,Ube2l6,,Glt25d2,Herpud1,Stag3,Ftsj3,,Fip1l1,Lrp12,,,Kif23,,Vnn1,Sdc4,Cwf19l2,Rabl6
,,Klhl7,,Ccdc24,,Apoe,6330407A03Rik,Capn2,Srpk1,,Crebbp,Pisd,,,Cdca8,,Vegfc,Il13ra1,Eef1b2,Nolc1
,,Dok5,,Slc6a9,,Ptprg,Aldh3b1,Ccdc91,Map2k3,,Zfp207,Atp6v1d,,,Polg2,,Zbtb20,Tnfaip1,Ica1l,Hmgb3
,,Abca1,,Slc23a1,,EG384356,Trub1,Svs5,Krtcap2,,Ccdc101,Ifit2,,,Abcb6,,Zbtb4,Abr,Ppil3,Anp32e
,,Ly9,,Rragd,,Sh3pxd2b,Cacna1e,Mpnd,Hnrnpab,,1110012D08Rik,Rdbp,,,Plscr2,,Zfp467,Mmp9,Rgs1,Prpsap1
,,Slx4ip,,Cpeb4,,Mrpl28,Ankrd58,Pik3r1,Smc4,,Psmc2,Tcfap4,,,Adam28,,Zfp612,Ghdc,Glul,Ncapg
,,Wdr6,,Xpo7,,Dpep1,Ypel5,Flt3,Mobkl2a,,Eif4e3,Trmt5,,,Tbc1d16,,,Ctsa,Fam129a,Slc25a5
,,Mlst8,,Ank1,,Glp1r,Akap12,H2-DMb2,Hist1h2bg,,Crlf3,Bfar,,,Nlrc3,,,Eya2,Aldh9a1,Cd34
,,Cyp4v3,,Aspn,,LOC638798,Prdm1,Sec22b,Serinc1,,Cdk5,Hnrpd,,,Cox18,,,Cyth4,Tmem141,Brca1
,,Camk2d,,Lipg,,Zfp639,Pasd1,Tef,Rab31,,Anxa3,Arfgef1,,,Ccdc51,,,Zcchc10,Zmynd19,Atad5
,,Slc7a6os,,Rsad2,,Nt5dc2,Smarcc1,Vat1,Tuba1c,,Prcc,Tmem66,,,Dact3,,,Gpx3,Dph7,Birc5
