Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,,,Slc3a2,,Nr1i2,,,,,,,,,,,,Tifab,,Nap1l1
,,,,Fam132a,,AB041806,,,,,,,,,,,,Catsperg1,,Slc14a1
,,,,BC030867,,Heatr2,,,,,,,,,,,,Slc25a44,,Nrm
,,,,Creld2,,Serf2,,,,,,,,,,,,Lgr4,,Suv420h2
,,,,Apoe,,Atp8a1,,,,,,,,,,,,Klre1,,Ptp4a3
,,,,Fcgr1,,Vkorc1l1,,,,,,,,,,,,Rictor,,Taok2
,,,,Capn11,,Hist1h2bh,,,,,,,,,,,,Lgals3,,H2-Q7
,,,,Abcb9,,Clec4a4,,,,,,,,,,,,4930486L24Rik,,H3f3a
,,,,Trim59,,BC024814,,,,,,,,,,,,Fam118b,,Ube2s
,,,,Gp1ba,,1700024G13Rik,,,,,,,,,,,,Zfp831,,Rrs1
,,,,Itgax,,Dkk4,,,,,,,,,,,,Ftl1,,Clasrp
,,,,Hebp1,,Pdzk1ip1,,,,,,,,,,,,Dcaf12l2,,Snrpa
,,,,Gpd1,,Gpr61,,,,,,,,,,,,Gprc5c,,Cox5b
,,,,Cenpi,,Hist1h2bm,,,,,,,,,,,,Mb21d2,,U2af1
,,,,Ccdc99,,Tspyl5,,,,,,,,,,,,Gpr183,,Hist1h2ab
,,,,Atl1,,EG665262,,,,,,,,,,,,Taf7,,Med9
,,,,Zdhhc14,,Gja8,,,,,,,,,,,,Samd3,,Rai1
,,,,Sec14l2,,Alg13,,,,,,,,,,,,Zfp786,,Gspt1
,,,,Mcm10,,Ccdc157,,,,,,,,,,,,Siglech,,Cks2
,,,,Abcb10,,Slc8a1,,,,,,,,,,,,Wfdc21,,Nsl1
,,,,Dynlt1a,,Gpr176,,,,,,,,,,,,Gypa,,2310039H08Rik
,,,,Rexo2,,Pftk2,,,,,,,,,,,,Btla,,Mrpl42
,,,,Cdk6,,Frem1,,,,,,,,,,,,Pard3b,,Ldha
,,,,2610021K21Rik,,6430601O08Rik,,,,,,,,,,,,D630039A03Rik,,Ptpla
,,,,Me2,,Slc14a2,,,,,,,,,,,,Pld4,,Mapk1
,,,,Arhgap11a,,OTTMUSG00000002043,,,,,,,,,,,,Cd177,,B9d2
,,,,Ttk,,Ppp3r1,,,,,,,,,,,,Cdc42se2,,Nmral1
,,,,Gm15659,,Bai2,,,,,,,,,,,,Hbb-bs,,Nhp2l1
,,,,D11Wsu99e,,Rbp4,,,,,,,,,,,,Slc39a1,,Snrnp70
,,,,Gm12279,,Chrna1,,,,,,,,,,,,Ankrd44,,Nupl1
,,,,Slmo2,,Alg3,,,,,,,,,,,,Mogat2,,Siva1
,,,,F2r,,Cuta,,,,,,,,,,,,Ccdc171,,Hmgb1
,,,,Wdr81,,OTTMUSG00000004508,,,,,,,,,,,,Cebpe,,Bub3
,,,,Ttyh2,,Cenpc1,,,,,,,,,,,,Nav2,,Xpo5
,,,,Abcc3,,Ano1,,,,,,,,,,,,Zmat1,,Lyar
,,,,Slc16a6,,Pax6,,,,,,,,,,,,Jun,,Hdac8
,,,,Cdk1,,Syt16,,,,,,,,,,,,5430435G22Rik,,Cenpm
,,,,Dhrs3,,OTTMUSG00000007428,,,,,,,,,,,,Klrc2,,Il3ra
,,,,Grap2,,Ppia,,,,,,,,,,,,Nrk,,Sf3b4
,,,,Gda,,Med28,,,,,,,,,,,,Prkcb,,Hist1h2ae
,,,,Prss16,,Prop1,,,,,,,,,,,,Smarca5-ps,,Psmb3
,,,,Ndc80,,T2,,,,,,,,,,,,Jam2,,Spdl1
,,,,Gm5903,,Pbx4,,,,,,,,,,,,Clec12a,,Ssbp4
,,,,Aurkb,,Ttc25,,,,,,,,,,,,Gpr141,,Chchd2
,,,,Samd4,,Cenpe,,,,,,,,,,,,Yap1,,Runx3
,,,,8030462N17Rik,,Shank3,,,,,,,,,,,,Camk2d,,Utp3
,,,,Slc39a8,,Armc10,,,,,,,,,,,,Srcap,,Ndufb6
,,,,Gm20667,,F630043A04Rik,,,,,,,,,,,,Iigp1,,Nt5dc2
,,,,Mdm1,,Caskin2,,,,,,,,,,,,Fgfr3,,Ppia
,,,,Pcyt1b,,Slbp,,,,,,,,,,,,Slfn5,,Ccnf
,,,,Tubb3,,Fadd,,,,,,,,,,,,Trim65,,Ccdc160
,,,,Gm15544,,Pltp,,,,,,,,,,,,Mettl7a1,,H2-Ke6
,,,,Rph3al,,Zfp474,,,,,,,,,,,,Txk,,Mar-02
,,,,Pfn1,,Mal2,,,,,,,,,,,,Klf2,,Hspe1
,,,,Gm7856,,Spon1,,,,,,,,,,,,Tmem245,,Apitd1
,,,,Cenpn,,Adra2a,,,,,,,,,,,,Tns1,,Snrnp40
,,,,Dtl,,Btg4,,,,,,,,,,,,Maf,,Dda1
,,,,Eif5a2,,EG621501,,,,,,,,,,,,B4galnt4,,Spc24
,,,,Cenpl,,4933402J07Rik,,,,,,,,,,,,B4galt6,,Pak6
,,,,Tada2b,,L3mbtl4,,,,,,,,,,,,Ticam2,,Chml
,,,,Myo19,,Asap1,,,,,,,,,,,,Trim34a,,Dohh
,,,,Ehd1,,Eapa2,,,,,,,,,,,,Col8a2,,Abracl
,,,,Plk-ps1,,Cdc25a,,,,,,,,,,,,Pgpep1,,Rad54b
,,,,Epor,,Impdh2,,,,,,,,,,,,R3hdm1,,ENSMUSG00000079139
,,,,Atp4a,,LOC674846,,,,,,,,,,,,Ms4a4b,,Snhg3
,,,,Aspm,,ENSMUSG00000056771,,,,,,,,,,,,Tmem154,,AI662270
,,,,Wdhd1,,1600027N09Rik,,,,,,,,,,,,Ptafr,,Snrpe
,,,,Polh,,Rad54l,,,,,,,,,,,,Elmod3,,ENSMUSG00000091021
,,,,Robo3,,Gorasp2,,,,,,,,,,,,Acbd4,,ENSMUSG00000093803
,,,,Rad51ap1,,Cep170,,,,,,,,,,,,Ebf1,,Tomm20
,,,,1110038D17Rik,,Rbm10,,,,,,,,,,,,Rpgrip1,,ENSMUSG00000094614
,,,,Ankle1,,Nhp2l1,,,,,,,,,,,,Zfp329,,ENSMUSG00000095332
,,,,Atp6v0a1,,Ppan,,,,,,,,,,,,Camk2b,,Noc2l
,,,,Tk1,,EG432950,,,,,,,,,,,,Gstm1,,Dynlt1f
,,,,Lag3,,Gucy1b2,,,,,,,,,,,,Zfp420,,Rnaset2a
,,,,Usp15,,Magmas,,,,,,,,,,,,Ccser2,,H1f0
,,,,Cit,,a,,,,,,,,,,,,Fcer1g,,ENSMUSG00000096232
,,,,Pcx,,Iqwd1,,,,,,,,,,,,Pirb,,Snhg5
,,,,Gm7099,,Nt5c2,,,,,,,,,,,,Ifitm6,,4933404O12Rik
,,,,Pdia3,,Mlph,,,,,,,,,,,,Syn3,,Bin2
,,,,Mst1,,ENSMUSG00000070342,,,,,,,,,,,,Kcnh7,,ENSMUSG00000098178
,,,,Ufsp1,,Baiap2l2,,,,,,,,,,,,Atl2,,1190002F15Rik
,,,,Gm15452,,Awat1,,,,,,,,,,,,Hspa2,,ENSMUSG00000101878
,,,,Cd244,,Ogn,,,,,,,,,,,,Atp8b4,,
,,,,Tacc3,,Lman2,,,,,,,,,,,,Zfp937,,
,,,,Slc11a2,,Mrps25,,,,,,,,,,,,Trim5,,
,,,,Gm5648,,Aqp8,,,,,,,,,,,,Wtap,,
,,,,Gucy1b3,,EG668565,,,,,,,,,,,,Irak2,,
,,,,6330503K22Rik,,Zfp282,,,,,,,,,,,,Tnfrsf19,,
,,,,Shmt2,,EG244229,,,,,,,,,,,,Marf1,,
,,,,Bpifc,,Six6,,,,,,,,,,,,Copz1,,
,,,,Gm10371,,Nucb1,,,,,,,,,,,,Blnk,,
,,,,Fgf3,,Ttc29,,,,,,,,,,,,Sfmbt2,,
,,,,Exo1,,Cdx1,,,,,,,,,,,,Cep128,,
,,,,Tuba1c,,Spon2,,,,,,,,,,,,Cd2ap,,
,,,,Gm2788,,Ngly1,,,,,,,,,,,,1700052N19Rik,,
,,,,Kifc5b,,Polr3h,,,,,,,,,,,,Myl1,,
,,,,Gm15782,,Nox3,,,,,,,,,,,,Btbd3,,
,,,,Fbxo34,,ENSMUSG00000058754,,,,,,,,,,,,Dgkk,,
,,,,Arrb1,,EG625464,,,,,,,,,,,,Fabp4,,
,,,,Ubash3a,,Zfp59,,,,,,,,,,,,Ncr1,,
,,,,Itgb6,,Acyp1,,,,,,,,,,,,Lilrb4,,
,,,,F630043A04Rik,,Taok2,,,,,,,,,,,,Ppox,,
,,,,2210403K04Rik,,Prl2b1,,,,,,,,,,,,Hdac10,,
,,,,Gm3550,,Rprl1,,,,,,,,,,,,Kif1b,,
,,,,Acsl6,,Aldh3a1,,,,,,,,,,,,Cyp26b1,,
,,,,Chek1,,Deb1,,,,,,,,,,,,Sema3e,,
,,,,Ifrd2,,1700020A23Rik,,,,,,,,,,,,Nr6a1,,
,,,,Rb1,,Adrb1,,,,,,,,,,,,Gpn1,,
,,,,Kif15,,Hist1h2ab,,,,,,,,,,,,Zfp69,,
,,,,Slc12a4,,Sox17,,,,,,,,,,,,Rab44,,
,,,,Sgol2,,Ccr8,,,,,,,,,,,,4430402I18Rik,,
,,,,Hyls1,,Enam,,,,,,,,,,,,Gimap8,,
,,,,1700001L05Rik,,OTTMUSG00000007322,,,,,,,,,,,,Hvcn1,,
,,,,Gm12932,,F830104G03Rik,,,,,,,,,,,,Gpbar1,,
,,,,Gins1,,Mrps24,,,,,,,,,,,,ENSMUSG00000064339,,
,,,,Lpin2,,Pdzrn3,,,,,,,,,,,,Sepp1,,
,,,,Arl4a,,Iqcf1,,,,,,,,,,,,Rn7sk,,
,,,,Cul4a,,Rims2,,,,,,,,,,,,Ifitm7,,
,,,,5430435G22Rik,,Vamp5,,,,,,,,,,,,Cdc26,,
,,,,Cdc20,,ENSMUSG00000048936,,,,,,,,,,,,Slc31a1,,
,,,,Golm1,,Itga10,,,,,,,,,,,,Slc31a2,,
,,,,Tmem134,,Olfr877,,,,,,,,,,,,Tecpr1,,
,,,,Slc20a1,,Gm1968,,,,,,,,,,,,Fbxl12,,
,,,,Gm13904,,Vcpip1,,,,,,,,,,,,ENSMUSG00000067017,,
,,,,Crat,,Trpa1,,,,,,,,,,,,H2-T23,,
,,,,D330045A20Rik,,Cmas,,,,,,,,,,,,2010002M12Rik,,
,,,,Gm9577,,Kif22,,,,,,,,,,,,Dok1,,
,,,,Uhrf1,,Cst9,,,,,,,,,,,,Rnase12,,
,,,,Pacsin2,,Olfr170,,,,,,,,,,,,Myadm,,
,,,,Cenpk,,Cyp2c70,,,,,,,,,,,,Gm10248,,
,,,,Gm5483,,Trappc5,,,,,,,,,,,,Pde7a,,
,,,,Spic,,Cenpq,,,,,,,,,,,,Lyz2,,
,,,,Kctd9,,Vps29,,,,,,,,,,,,ENSMUSG00000069540,,
,,,,Spire1,,Prph,,,,,,,,,,,,Marcks,,
,,,,Gpsm2,,Abcg5,,,,,,,,,,,,Wfdc17,,
,,,,Mns1,,Pcbp3,,,,,,,,,,,,Ahnak,,
,,,,Gen1,,Lrrc24,,,,,,,,,,,,9930111J21Rik2,,
,,,,Gm9938,,OTTMUSG00000011546,,,,,,,,,,,,Hba-a2,,
,,,,Bcl2l13,,Col19a1,,,,,,,,,,,,Sp140,,
,,,,Abcg2,,EG384482,,,,,,,,,,,,Mfhas1,,
,,,,Gfap,,Ccrn4l,,,,,,,,,,,,ENSMUSG00000070271,,
,,,,Tlr1,,Cyb5r3,,,,,,,,,,,,Mn1,,
,,,,Hipk2,,Galp,,,,,,,,,,,,Fryl,,
,,,,Atp7b,,Ndc80,,,,,,,,,,,,Gm12942,,
,,,,Mcm4,,Aoc3,,,,,,,,,,,,Rbm47,,
,,,,Ddx28,,Gjc2,,,,,,,,,,,,Naip5,,
,,,,Mxd1,,Kcns2,,,,,,,,,,,,Map3k5,,
,,,,Rad18,,Ryr3,,,,,,,,,,,,Ganab,,
,,,,Prkab1,,Trp53i13,,,,,,,,,,,,Csf2rb,,
,,,,Ncoa4,,Trmt6,,,,,,,,,,,,Csf2rb2,,
,,,,D17H6S56E-5,,Hkdc1,,,,,,,,,,,,Zhx2,,
,,,,Emilin2,,Foxn1,,,,,,,,,,,,Slfn2,,
,,,,Ckap5,,Sox2,,,,,,,,,,,,ENSMUSG00000073274,,
,,,,Serpina3f,,EG667193,,,,,,,,,,,,Lst1,,
,,,,Fbxo42,,Hist1h1t,,,,,,,,,,,,AI607873,,
,,,,Phyhip,,Carkd,,,,,,,,,,,,Gm4951,,
,,,,Nasp,,Arntl2,,,,,,,,,,,,Ecscr,,
,,,,Zwilch,,Aldh1a1,,,,,,,,,,,,Fam196a,,
,,,,Pkhd1l1,,1190005I06Rik,,,,,,,,,,,,ENSMUSG00000073867,,
,,,,Gm4596,,Csda,,,,,,,,,,,,Hbb-bt,,
,,,,Gm11697,,Olfr550,,,,,,,,,,,,4632427E13Rik,,
,,,,Stfa1,,Ddx23,,,,,,,,,,,,Ehd2,,
,,,,4930579G24Rik,,Strc,,,,,,,,,,,,Gm14548,,
,,,,Gm8396,,Itfg2,,,,,,,,,,,,LOC100038947,,
,,,,Dpf3,,Abca6,,,,,,,,,,,,5830428H23Rik,,
,,,,Pola1,,ENSMUSG00000074911,,,,,,,,,,,,AW112010,,
,,,,Metap2,,EG434858,,,,,,,,,,,,Hoxb2,,
,,,,H2-T24,,Mmp28,,,,,,,,,,,,B130006D01Rik,,
,,,,Tab3,,EG626952,,,,,,,,,,,,Ly6a,,
,,,,Kpna1,,EG435640,,,,,,,,,,,,ENSMUSG00000076609,,
,,,,Ccl2,,Cyp4f39,,,,,,,,,,,,ENSMUSG00000076928,,
,,,,Ampd3,,EG624662,,,,,,,,,,,,F630028O10Rik,,
,,,,Tmem48,,Gmeb2,,,,,,,,,,,,ENSMUSG00000078160,,
,,,,Ltc4s,,Haus4,,,,,,,,,,,,C030017K20Rik,,
,,,,Ephx2,,Gm705,,,,,,,,,,,,Evi2a,,
,,,,Mylpf,,Stxbp5,,,,,,,,,,,,Tgtp2,,
,,,,4930534B04Rik,,Chaf1a,,,,,,,,,,,,Prnp,,
,,,,Fancb,,M5C1000I18Rik,,,,,,,,,,,,Gm14085,,
,,,,Pitrm1,,Aco2,,,,,,,,,,,,ENSMUSG00000079143,,
,,,,Reln,,Cidec,,,,,,,,,,,,Clec7a,,
,,,,Lrg1,,Nxph4,,,,,,,,,,,,ENSMUSG00000079357,,
,,,,Slc26a1,,4930512B01Rik,,,,,,,,,,,,Gbp4,,
,,,,Cdc45,,Ddx55,,,,,,,,,,,,Ms4a6c,,
,,,,Nfyb,,Olfr1320,,,,,,,,,,,,Nhsl2,,
,,,,Clec4a1,,V1rc1,,,,,,,,,,,,ENSMUSG00000080851,,
,,,,Dck,,Ptpn5,,,,,,,,,,,,ENSMUSG00000081953,,
,,,,Ube2f,,Trmt61a,,,,,,,,,,,,ENSMUSG00000081974,,
,,,,Poc1a,,EG667519,,,,,,,,,,,,Slfn14,,
,,,,Pask,,Kctd5,,,,,,,,,,,,Ctsf,,
,,,,Ncapd2,,6430548M08Rik,,,,,,,,,,,,ENSMUSG00000083306,,
,,,,Rfesd,,Olfr714  // Olfr714,,,,,,,,,,,,ENSMUSG00000084756,,
,,,,Gm6682,,Cnih2,,,,,,,,,,,,ENSMUSG00000084760,,
,,,,Bola3,,Bet1l,,,,,,,,,,,,A930006K02Rik,,
,,,,Rod1,,Dnajc9,,,,,,,,,,,,ENSMUSG00000084911,,
,,,,Mad2l1,,Tm4sf19,,,,,,,,,,,,ENSMUSG00000085334,,
,,,,Pdcd1lg2,,Fermt3,,,,,,,,,,,,ENSMUSG00000085376,,
,,,,Slc1a4,,Col24a1,,,,,,,,,,,,ENSMUSG00000085471,,
,,,,Stx2,,Rpp30,,,,,,,,,,,,ENSMUSG00000085687,,
,,,,Lrrc20,,Hist1h3d,,,,,,,,,,,,ENSMUSG00000085872,,
,,,,Tmem14c,,Rpa2,,,,,,,,,,,,Bcas3os1,,
,,,,Neil3,,G2e3,,,,,,,,,,,,E130102H24Rik,,
,,,,Piga,,Marveld3,,,,,,,,,,,,LOC101055671,,
,,,,Nrg1,,Speer4f,,,,,,,,,,,,ENSMUSG00000087390,,
,,,,Adap2,,Chrng,,,,,,,,,,,,ENSMUSG00000087691,,
,,,,Rfc4,,Cntnap4,,,,,,,,,,,,Gp49a,,
,,,,Wdr67,,Odf3l1,,,,,,,,,,,,ENSMUSG00000089706,,
,,,,Rad51,,Hsd17b6,,,,,,,,,,,,Cbx6,,
,,,,Clspn,,Dctpp1,,,,,,,,,,,,ENSMUSG00000089829,,
,,,,Xylb,,Calcr,,,,,,,,,,,,ENSMUSG00000089940,,
,,,,Siglec5,,EG546638,,,,,,,,,,,,BC035044,,
,,,,Pgp,,Padi3,,,,,,,,,,,,2810055G20Rik,,
,,,,St3gal6,,AI747448,,,,,,,,,,,,F830016B08Rik,,
,,,,Tnfaip8l1,,ENSMUSG00000071302,,,,,,,,,,,,Cyp4f17,,
,,,,RP24-245M20.2,,Crlf2,,,,,,,,,,,,LOC102638296,,
,,,,Slc7a11,,1110013L07Rik,,,,,,,,,,,,ENSMUSG00000092250,,
,,,,Aplf,,Tom1l1,,,,,,,,,,,,ENSMUSG00000092274,,
,,,,Gm10184,,Kalrn,,,,,,,,,,,,ENSMUSG00000093760,,
,,,,Ung,,Pctk1,,,,,,,,,,,,ENSMUSG00000094652,,
,,,,Cyb561,,Smok3b,,,,,,,,,,,,Syne1,,
,,,,Bysl,,Olfr414,,,,,,,,,,,,A330023F24Rik,,
,,,,Mars,,EG653016,,,,,,,,,,,,ENSMUSG00000096982,,
,,,,Slc30a10,,Thsd4,,,,,,,,,,,,9530082P21Rik,,
,,,,1810058I24Rik,,Serpina1e,,,,,,,,,,,,ENSMUSG00000097035,,
,,,,Cdca5,,B930078G14Rik,,,,,,,,,,,,ENSMUSG00000097045,,
,,,,Ckap2,,Olfr1419,,,,,,,,,,,,ENSMUSG00000097138,,
,,,,Adrb2,,Mcm10,,,,,,,,,,,,ENSMUSG00000097250,,
,,,,Tcp11l2,,Ndufb2,,,,,,,,,,,,ENSMUSG00000097257,,
,,,,Ift140,,Olfr1328,,,,,,,,,,,,ENSMUSG00000097258,,
,,,,Orc6,,OTTMUSG00000007808,,,,,,,,,,,,ENSMUSG00000097274,,
,,,,Riok3,,Onecut2,,,,,,,,,,,,ENSMUSG00000097296,,
,,,,Agfg2,,Fbxw12,,,,,,,,,,,,2310001H17Rik,,
,,,,Rfwd3,,E230019M04Rik,,,,,,,,,,,,ENSMUSG00000097383,,
,,,,Ccnd3-ps,,Psph,,,,,,,,,,,,ENSMUSG00000097451,,
,,,,Nars,,4930408F14Rik  // 4930408F14Rik,,,,,,,,,,,,ENSMUSG00000097507,,
,,,,Mmp19,,Chrdl2,,,,,,,,,,,,ENSMUSG00000097579,,
,,,,Gm6091,,Kcp,,,,,,,,,,,,ENSMUSG00000097777,,
,,,,E130306D19Rik,,Cml4,,,,,,,,,,,,ENSMUSG00000097838,,
,,,,Gm6104,,Olfr570,,,,,,,,,,,,5031434O11Rik,,
,,,,Serinc1,,Prss34,,,,,,,,,,,,Zfp82,,
,,,,Gm1821,,LOC236598,,,,,,,,,,,,ENSMUSG00000098062,,
,,,,Zfp341,,Olfr661,,,,,,,,,,,,ENSMUSG00000099697,,
,,,,Spc24,,2410080I02Rik,,,,,,,,,,,,ENSMUSG00000099757,,
,,,,Rgs10,,OTTMUSG00000011061,,,,,,,,,,,,ENSMUSG00000100281,,
,,,,Dclk2,,Zfp511,,,,,,,,,,,,ENSMUSG00000100691,,
,,,,Mcm2,,H1fx,,,,,,,,,,,,ENSMUSG00000100922,,
,,,,Stab1,,Olfr381,,,,,,,,,,,,ENSMUSG00000101609,,
,,,,Zfp459,,AU021092,,,,,,,,,,,,,,
,,,,St3gal5,,Pnpla6,,,,,,,,,,,,,,
,,,,Pim1,,Emd,,,,,,,,,,,,,,
,,,,Cenpa,,Defb45,,,,,,,,,,,,,,
,,,,Ankrd61,,Lhfp,,,,,,,,,,,,,,
,,,,Slc7a1,,Optn,,,,,,,,,,,,,,
,,,,Gm12611,,EG667078,,,,,,,,,,,,,,
,,,,Nkg7,,Clec2g,,,,,,,,,,,,,,
,,,,Anp32e,,Foxo4,,,,,,,,,,,,,,
,,,,Gm15654,,Ctnnb1,,,,,,,,,,,,,,
,,,,Btg2,,Gap43,,,,,,,,,,,,,,
,,,,Orc2,,Mcm3,,,,,,,,,,,,,,
,,,,H2afx,,Gstm5,,,,,,,,,,,,,,
,,,,Lnp,,Olfr531,,,,,,,,,,,,,,
,,,,Mcm5,,9030224M15Rik,,,,,,,,,,,,,,
,,,,Tipin,,Olfr1359,,,,,,,,,,,,,,
,,,,Acp1,,Rspo1,,,,,,,,,,,,,,
,,,,Prdx3,,Aspscr1,,,,,,,,,,,,,,
,,,,Kif23,,4933416E03Rik,,,,,,,,,,,,,,
,,,,Trbv13-2,,Car2,,,,,,,,,,,,,,
,,,,Tmem93,,Fpr-rs6,,,,,,,,,,,,,,
,,,,Syngr1,,Hdac10,,,,,,,,,,,,,,
,,,,Mastl,,Vil1,,,,,,,,,,,,,,
,,,,Mcm8,,Polh,,,,,,,,,,,,,,
,,,,6030468B19Rik,,Lzts1,,,,,,,,,,,,,,
,,,,Prim1,,Nup107,,,,,,,,,,,,,,
,,,,Phlpp2,,Mobkl1a,,,,,,,,,,,,,,
,,,,Gm16550,,A230074B11Rik,,,,,,,,,,,,,,
,,,,Lbr,,Casc4,,,,,,,,,,,,,,
,,,,Sgms2,,Grik1,,,,,,,,,,,,,,
,,,,Tyms,,Crtac1,,,,,,,,,,,,,,
,,,,Gm1866,,Mapkap1,,,,,,,,,,,,,,
,,,,Mtbp,,ENSMUSG00000019985,,,,,,,,,,,,,,
,,,,Bard1,,Cct6b,,,,,,,,,,,,,,
,,,,Brip1,,Gpr87,,,,,,,,,,,,,,
,,,,8430419L09Rik,,Sfrp4,,,,,,,,,,,,,,
,,,,Hist1h1a,,Eif1ay,,,,,,,,,,,,,,
,,,,Rbbp8,,Hist1h2bg,,,,,,,,,,,,,,
,,,,Usp46,,2810433K01Rik,,,,,,,,,,,,,,
,,,,Cdkn1a,,Gjb5,,,,,,,,,,,,,,
,,,,Hexim2,,Mafa,,,,,,,,,,,,,,
,,,,2610002D18Rik,,Qtrt1,,,,,,,,,,,,,,
,,,,Nudcd2,,EG383436,,,,,,,,,,,,,,
,,,,Cd59a,,ENSMUSG00000026654,,,,,,,,,,,,,,
,,,,Incenp,,Stat5b,,,,,,,,,,,,,,
,,,,Gadd45gip1,,C4bp,,,,,,,,,,,,,,
,,,,Herc1,,EG665661,,,,,,,,,,,,,,
,,,,Xpnpep1,,Rnf186,,,,,,,,,,,,,,
,,,,Fam126a,,6430537H07Rik,,,,,,,,,,,,,,
,,,,Pkd2l2,,Speg,,,,,,,,,,,,,,
,,,,Ugt8a,,Qrfpr,,,,,,,,,,,,,,
,,,,Gp5,,Fgf10,,,,,,,,,,,,,,
,,,,Cd200r4,,Uqcrc1,,,,,,,,,,,,,,
,,,,Fanca,,BC034902,,,,,,,,,,,,,,
,,,,Tcf19,,6720463M24Rik,,,,,,,,,,,,,,
,,,,2810417H13Rik,,Pnet-ps,,,,,,,,,,,,,,
,,,,A930006K02Rik,,Cramp1l,,,,,,,,,,,,,,
,,,,Fbxo7,,AU040829,,,,,,,,,,,,,,
,,,,Ttll12,,ENSMUSG00000046620,,,,,,,,,,,,,,
,,,,Fam33a,,EG381852,,,,,,,,,,,,,,
,,,,Wdr26,,Olfr1087,,,,,,,,,,,,,,
,,,,Ache,,Tsfm,,,,,,,,,,,,,,
,,,,D2Ertd750e,,Olfr976,,,,,,,,,,,,,,
,,,,Siglece,,Rbpjl,,,,,,,,,,,,,,
,,,,Atf4,,Dars2,,,,,,,,,,,,,,
,,,,Pop1,,Banf2,,,,,,,,,,,,,,
,,,,Rad54l,,Slc6a18,,,,,,,,,,,,,,
,,,,Cep55,,Rpe,,,,,,,,,,,,,,
,,,,Gm340,,ENSMUSG00000075556,,,,,,,,,,,,,,
,,,,Gm12475,,C230094A16Rik,,,,,,,,,,,,,,
,,,,Zmynd17,,Slc8a2,,,,,,,,,,,,,,
,,,,Mlf1ip,,3300002A11Rik,,,,,,,,,,,,,,
,,,,Gmnn,,Kcnv2,,,,,,,,,,,,,,
,,,,Phb2,,Tceb2,,,,,,,,,,,,,,
,,,,Hs6st1,,Mmd2,,,,,,,,,,,,,,
,,,,Cks2,,Cntn1,,,,,,,,,,,,,,
,,,,AC133939.1,,Foxb1,,,,,,,,,,,,,,
,,,,Slbp,,Hs1bp3,,,,,,,,,,,,,,
,,,,Rad54b,,Rbpms2,,,,,,,,,,,,,,
,,,,Hist3h2ba,,Olfr150,,,,,,,,,,,,,,
,,,,Cdkn2d,,Cnksr1,,,,,,,,,,,,,,
,,,,Mpv17l2,,Atp5g1,,,,,,,,,,,,,,
,,,,6720489N17Rik,,Mbd3l1,,,,,,,,,,,,,,
,,,,Rcc1,,Sephs2,,,,,,,,,,,,,,
,,,,Nup93,,V1rd2,,,,,,,,,,,,,,
,,,,Chtf18,,C1qa,,,,,,,,,,,,,,
,,,,Gm9144,,Galk1,,,,,,,,,,,,,,
,,,,Ncbp1,,EG620161,,,,,,,,,,,,,,
,,,,Map4k5,,Lpcat3,,,,,,,,,,,,,,
,,,,Sntb2,,Ube2t,,,,,,,,,,,,,,
,,,,Apeh,,Sh3bp4,,,,,,,,,,,,,,
,,,,Stfa2l1,,Igf2bp2,,,,,,,,,,,,,,
,,,,Serpina3g,,Eif4ebp3,,,,,,,,,,,,,,
,,,,Rpa1,,EG667360,,,,,,,,,,,,,,
,,,,AC156643.1,,E230025N22Rik,,,,,,,,,,,,,,
,,,,Col18a1,,Magea9,,,,,,,,,,,,,,
,,,,Cysltr1,,Rbx1,,,,,,,,,,,,,,
,,,,Dnmt1,,Telo2,,,,,,,,,,,,,,
,,,,Tubb4b,,Dennd2c,,,,,,,,,,,,,,
,,,,Psmc3ip,,Ccdc27,,,,,,,,,,,,,,
,,,,Ublcp1,,Fam132a,,,,,,,,,,,,,,
,,,,Prim2,,A530021J07Rik,,,,,,,,,,,,,,
,,,,Lphn1,,Ppp1r14d,,,,,,,,,,,,,,
,,,,Sh3yl1,,OTTMUSG00000011757,,,,,,,,,,,,,,
,,,,Tpcn1,,Ngf,,,,,,,,,,,,,,
,,,,Stab2,,Cdc37,,,,,,,,,,,,,,
,,,,Cldn1,,Olfr1141,,,,,,,,,,,,,,
,,,,Stip1,,Gpld1,,,,,,,,,,,,,,
,,,,Lig1,,Dnalc4,,,,,,,,,,,,,,
,,,,H2-Eb1,,Olfr1441,,,,,,,,,,,,,,
,,,,Treml1,,Ttc39a,,,,,,,,,,,,,,
,,,,AF251705,,Fam108a,,,,,,,,,,,,,,
,,,,Cenpq,,Slc16a14,,,,,,,,,,,,,,
,,,,Unc5cl,,Slamf1,,,,,,,,,,,,,,
,,,,Gm12112,,Nrg1,,,,,,,,,,,,,,
,,,,Mthfd1,,Scnn1g,,,,,,,,,,,,,,
,,,,Cep72,,,,,,,,,,,,,,,,
,,,,Gm1966,,,,,,,,,,,,,,,,
,,,,Picalm,,,,,,,,,,,,,,,,
,,,,Gvin1,,,,,,,,,,,,,,,,
,,,,Cdca2,,,,,,,,,,,,,,,,
